ts,size,n,m,p,totaltime
1717077629981,4,10,10,10,231
1717077631781,4,10,10,10,241
1717077721345,3,10,10,10,171
1717077722717,3,10,10,10,212
1717077724109,3,10,10,10,170
1717077725493,3,10,10,10,239
1717077726921,3,10,10,10,215
1717077728301,3,10,10,10,171
1717077729665,3,10,10,10,216
1717077731097,3,10,10,10,211
1717077732481,3,10,10,10,213
1717077733840,3,10,10,10,212
1717077735253,3,10,10,10,212
1717077736669,3,10,10,10,171
1717077738049,3,10,10,10,170
1717077739409,3,10,10,10,208
1717077740781,3,10,10,10,215
1717077742175,3,10,10,10,209
1717077743537,3,10,10,10,210
1717077744913,3,10,10,10,215
1717077746453,3,10,10,10,171
1717077747809,3,10,10,10,211
1717077749181,3,10,10,10,167
1717077750541,3,10,10,10,216
1717077752001,3,10,10,10,216
1717077753377,3,10,10,10,211
1717077754753,3,10,10,10,212
1717077756125,3,10,10,10,293
1717077757589,3,10,10,10,211
1717077758953,3,10,10,10,171
1717077760321,3,10,10,10,212
1717077761715,3,10,10,10,210
1717077763097,3,10,10,10,210
1717077764485,3,10,10,10,211
1717077765853,3,10,10,10,209
1717077767273,3,10,10,10,214
1717077768641,3,10,10,10,214
1717077770014,3,10,10,10,169
1717077771373,3,10,10,10,240
1717077772769,3,10,10,10,171
1717077774129,3,10,10,10,171
1717077775493,3,10,10,10,212
1717077776901,3,10,10,10,212
1717077778289,3,10,10,10,213
1717077779689,3,10,10,10,211
1717077781053,3,10,10,10,211
1717077782453,3,10,10,10,211
1717077783853,3,10,10,10,210
1717077785217,3,10,10,10,210
1717077786597,3,10,10,10,242
1717077788013,3,10,10,10,211
1717077789381,3,10,10,10,165
1717077790737,3,10,10,10,171
1717077792113,3,10,10,10,210
1717077793501,3,10,10,10,172
1717077794861,3,10,10,10,211
1717077796229,3,10,10,10,212
1717077797629,3,10,10,10,171
1717077798985,3,10,10,10,212
1717077800365,3,10,10,10,212
1717077801745,3,10,10,10,236
1717077803169,3,10,10,10,171
1717077804529,3,10,10,10,211
1717077805893,3,10,10,10,214
1717077807297,3,10,10,10,214
1717077808673,3,10,10,10,211
1717077810055,3,10,10,10,212
1717077811419,3,10,10,10,211
1717077812857,3,10,10,10,210
1717077814257,3,10,10,10,171
1717077815621,3,10,10,10,210
1717077817013,3,10,10,10,247
1717077818421,3,10,10,10,213
1717077819780,3,10,10,10,219
1717077821158,3,10,10,10,213
1717077822537,3,10,10,10,170
1717077823893,3,10,10,10,211
1717077825264,3,10,10,10,168
1717077826605,3,10,10,10,211
1717077828065,3,10,10,10,211
1717077829437,3,10,10,10,169
1717077830785,3,10,10,10,181
1717077832157,3,10,10,10,213
1717077833565,3,10,10,10,211
1717077834941,3,10,10,10,171
1717077836297,3,10,10,10,169
1717077837649,3,10,10,10,243
1717077839041,3,10,10,10,213
1717077840425,3,10,10,10,211
1717077841789,3,10,10,10,212
1717077843197,3,10,10,10,171
1717077844553,3,10,10,10,171
1717077845913,3,10,10,10,167
1717077847267,3,10,10,10,216
1717077848677,3,10,10,10,217
1717077850049,3,10,10,10,170
1717077851413,3,10,10,10,210
1717077852777,3,10,10,10,167
1717077854141,3,10,10,10,215
1717077855517,3,10,10,10,210
1717077856897,3,10,10,10,211
1717077858305,3,10,10,10,211
1717077939946,2,50,50,50,1108
1717077942051,2,50,50,50,446
